strategy,label,optimizer,epoch,lr,train_loss,train_acc,val_loss,val_acc,params,use_batchnorm,use_dropout,dropout_ratio,init_method
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,1,0.001,0.41347710142240734,95.81,0.1424772409796115,95.71,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,2,0.001,0.19203326419068278,97.41,0.10152454125756362,96.78,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,3,0.001,0.14954224248226658,98.08,0.08488289840553151,97.39,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,4,0.001,0.12568968750384005,98.42,0.07330334968509467,97.78,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,5,0.001,0.11106616109456845,98.72,0.06517222623144155,97.8,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,6,0.001,0.09822500051524559,98.86,0.0654183326426808,97.92999999999999,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,7,0.001,0.08758563555151778,98.95,0.06009725527220918,98.05,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,8,0.001,0.08140336988212356,99.21,0.06138970234127324,98.1,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,9,0.001,0.07637814447232945,99.36,0.0584165587128276,98.17,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,10,0.001,0.07287217523845715,99.51,0.05622179767754344,98.21,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,11,0.001,0.06630562469753588,99.58,0.054450209926583275,98.32,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,12,0.001,0.06194787402202998,99.4,0.057371876631323156,98.32,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,13,0.001,0.06016659334780904,99.57000000000001,0.054589197797583776,98.31,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,14,0.001,0.054129067073555616,99.58,0.05503111267939419,98.38,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,15,0.001,0.05418382626902342,99.63,0.05254701513784656,98.34,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,16,0.001,0.04980886395413416,99.68,0.055748416187005934,98.28,537354,True,True,0.5,he
adam_baseline,Adam lr=0.001 + BN + Dropout,Adam,17,0.001,0.04863161347170944,99.83999999999999,0.053274379264528264,98.42999999999999,537354,True,True,0.5,he
