[adam_baseline] Adam lr=0.001 + BN + Dropout
config: optimizer=Adam, lr=0.001, batchnorm=True, dropout=True, dropout_ratio=0.5, init=he, params=537354
epoch 01/20 lr=0.001000 train_loss=0.4135 train_acc=95.81% val_loss=0.1425 val_acc=95.71% params=537354
epoch 02/20 lr=0.001000 train_loss=0.1920 train_acc=97.41% val_loss=0.1015 val_acc=96.78% params=537354
epoch 03/20 lr=0.001000 train_loss=0.1495 train_acc=98.08% val_loss=0.0849 val_acc=97.39% params=537354
epoch 04/20 lr=0.001000 train_loss=0.1257 train_acc=98.42% val_loss=0.0733 val_acc=97.78% params=537354
epoch 05/20 lr=0.001000 train_loss=0.1111 train_acc=98.72% val_loss=0.0652 val_acc=97.80% params=537354
epoch 06/20 lr=0.001000 train_loss=0.0982 train_acc=98.86% val_loss=0.0654 val_acc=97.93% params=537354
epoch 07/20 lr=0.001000 train_loss=0.0876 train_acc=98.95% val_loss=0.0601 val_acc=98.05% params=537354
epoch 08/20 lr=0.001000 train_loss=0.0814 train_acc=99.21% val_loss=0.0614 val_acc=98.10% params=537354
epoch 09/20 lr=0.001000 train_loss=0.0764 train_acc=99.36% val_loss=0.0584 val_acc=98.17% params=537354
epoch 10/20 lr=0.001000 train_loss=0.0729 train_acc=99.51% val_loss=0.0562 val_acc=98.21% params=537354
epoch 11/20 lr=0.001000 train_loss=0.0663 train_acc=99.58% val_loss=0.0545 val_acc=98.32% params=537354
epoch 12/20 lr=0.001000 train_loss=0.0619 train_acc=99.40% val_loss=0.0574 val_acc=98.32% params=537354
epoch 13/20 lr=0.001000 train_loss=0.0602 train_acc=99.57% val_loss=0.0546 val_acc=98.31% params=537354
epoch 14/20 lr=0.001000 train_loss=0.0541 train_acc=99.58% val_loss=0.0550 val_acc=98.38% params=537354
epoch 15/20 lr=0.001000 train_loss=0.0542 train_acc=99.63% val_loss=0.0525 val_acc=98.34% params=537354
epoch 16/20 lr=0.001000 train_loss=0.0498 train_acc=99.68% val_loss=0.0557 val_acc=98.28% params=537354
epoch 17/20 lr=0.001000 train_loss=0.0486 train_acc=99.84% val_loss=0.0533 val_acc=98.43% params=537354
epoch 18/20 lr=0.001000 train_loss=0.0479 train_acc=99.78% val_loss=0.0515 val_acc=98.39% params=537354
epoch 19/20 lr=0.001000 train_loss=0.0434 train_acc=99.77% val_loss=0.0552 val_acc=98.49% params=537354
epoch 20/20 lr=0.001000 train_loss=0.0424 train_acc=99.88% val_loss=0.0499 val_acc=98.50% params=537354

[sgd_lr_0_01] SGD lr=0.01 + BN + Dropout
config: optimizer=SGD, lr=0.01, batchnorm=True, dropout=True, dropout_ratio=0.5, init=he, params=537354
epoch 01/20 lr=0.010000 train_loss=1.5578 train_acc=82.75% val_loss=0.8631 val_acc=83.23% params=537354
epoch 02/20 lr=0.010000 train_loss=0.8891 train_acc=86.81% val_loss=0.5571 val_acc=87.50% params=537354
epoch 03/20 lr=0.010000 train_loss=0.6780 train_acc=88.45% val_loss=0.4400 val_acc=89.32% params=537354
epoch 04/20 lr=0.010000 train_loss=0.5802 train_acc=89.67% val_loss=0.3705 val_acc=90.47% params=537354
epoch 05/20 lr=0.010000 train_loss=0.5152 train_acc=90.51% val_loss=0.3313 val_acc=91.06% params=537354
epoch 06/20 lr=0.010000 train_loss=0.4735 train_acc=91.13% val_loss=0.3012 val_acc=91.56% params=537354
epoch 07/20 lr=0.010000 train_loss=0.4429 train_acc=91.77% val_loss=0.2800 val_acc=92.05% params=537354
epoch 08/20 lr=0.010000 train_loss=0.4196 train_acc=92.10% val_loss=0.2656 val_acc=92.32% params=537354
epoch 09/20 lr=0.010000 train_loss=0.3984 train_acc=92.46% val_loss=0.2509 val_acc=92.66% params=537354
epoch 10/20 lr=0.010000 train_loss=0.3837 train_acc=92.81% val_loss=0.2396 val_acc=92.97% params=537354
epoch 11/20 lr=0.010000 train_loss=0.3714 train_acc=93.16% val_loss=0.2312 val_acc=93.15% params=537354
epoch 12/20 lr=0.010000 train_loss=0.3539 train_acc=93.39% val_loss=0.2227 val_acc=93.34% params=537354
epoch 13/20 lr=0.010000 train_loss=0.3470 train_acc=93.25% val_loss=0.2194 val_acc=93.31% params=537354
epoch 14/20 lr=0.010000 train_loss=0.3351 train_acc=93.82% val_loss=0.2086 val_acc=93.76% params=537354
epoch 15/20 lr=0.010000 train_loss=0.3289 train_acc=94.00% val_loss=0.2017 val_acc=93.95% params=537354
epoch 16/20 lr=0.010000 train_loss=0.3157 train_acc=94.18% val_loss=0.1960 val_acc=94.09% params=537354
epoch 17/20 lr=0.010000 train_loss=0.3093 train_acc=94.12% val_loss=0.1934 val_acc=94.24% params=537354
epoch 18/20 lr=0.010000 train_loss=0.3062 train_acc=94.51% val_loss=0.1859 val_acc=94.53% params=537354
epoch 19/20 lr=0.010000 train_loss=0.2939 train_acc=94.65% val_loss=0.1829 val_acc=94.40% params=537354
epoch 20/20 lr=0.010000 train_loss=0.2913 train_acc=94.62% val_loss=0.1812 val_acc=94.42% params=537354

[no_batchnorm] Adam lr=0.001 + no BN + Dropout
config: optimizer=Adam, lr=0.001, batchnorm=False, dropout=True, dropout_ratio=0.5, init=he, params=535818
epoch 01/20 lr=0.001000 train_loss=0.4418 train_acc=95.11% val_loss=0.1587 val_acc=95.15% params=535818
epoch 02/20 lr=0.001000 train_loss=0.1867 train_acc=96.90% val_loss=0.1120 val_acc=96.65% params=535818
epoch 03/20 lr=0.001000 train_loss=0.1423 train_acc=97.73% val_loss=0.0924 val_acc=97.22% params=535818
epoch 04/20 lr=0.001000 train_loss=0.1165 train_acc=98.10% val_loss=0.0795 val_acc=97.45% params=535818
epoch 05/20 lr=0.001000 train_loss=0.0994 train_acc=98.54% val_loss=0.0762 val_acc=97.64% params=535818
epoch 06/20 lr=0.001000 train_loss=0.0892 train_acc=98.90% val_loss=0.0638 val_acc=98.07% params=535818
epoch 07/20 lr=0.001000 train_loss=0.0807 train_acc=99.10% val_loss=0.0652 val_acc=98.02% params=535818
epoch 08/20 lr=0.001000 train_loss=0.0739 train_acc=99.20% val_loss=0.0659 val_acc=97.96% params=535818
epoch 09/20 lr=0.001000 train_loss=0.0679 train_acc=99.26% val_loss=0.0629 val_acc=98.23% params=535818
epoch 10/20 lr=0.001000 train_loss=0.0657 train_acc=99.28% val_loss=0.0604 val_acc=98.22% params=535818
epoch 11/20 lr=0.001000 train_loss=0.0586 train_acc=99.35% val_loss=0.0611 val_acc=98.28% params=535818
epoch 12/20 lr=0.001000 train_loss=0.0572 train_acc=99.56% val_loss=0.0594 val_acc=98.28% params=535818
epoch 13/20 lr=0.001000 train_loss=0.0522 train_acc=99.60% val_loss=0.0591 val_acc=98.40% params=535818
epoch 14/20 lr=0.001000 train_loss=0.0474 train_acc=99.71% val_loss=0.0538 val_acc=98.52% params=535818
epoch 15/20 lr=0.001000 train_loss=0.0455 train_acc=99.69% val_loss=0.0575 val_acc=98.43% params=535818
epoch 16/20 lr=0.001000 train_loss=0.0445 train_acc=99.65% val_loss=0.0545 val_acc=98.44% params=535818
epoch 17/20 lr=0.001000 train_loss=0.0426 train_acc=99.67% val_loss=0.0614 val_acc=98.31% params=535818
